Id,Nome,Biblioteca de formas,ID da p´ágina,Contido por,Grupo,Status,Área de texto 1,Área de texto 2,Comentários,Assignee,Description,End Date,Estimate,Start Date,Status,T-shirt size,Title
1,Documento,,,,,Rascunho,Quizzes de pesquisa,,,,,,,,,,
2,Página,,,,,,Page 1,,,,,,,,,,
3,LucidCardBlock,,2,,,,"Com as permissões de criação de conteúdo, quero criar um quiz de pesquisa coletar INFORMAÇÕES QUALITATIVAS dos usuários
","Posso criar quizzes com perguntas abertas (Open-Ended Question). 
Não há limite para a criação desse tipo de quiz. 
Posso configurar apenas o nome da lição e a pergunta. 
Perguntas de multipla escolha terão o nome da lição, a pergunta, e suas alternativas. 
As respostas não irão interferir na performance dos usuários respondentes. 
Posso adicionar emojis, negrito, italico, sublinhado e taxado no título e na descrição das questões.
",,,"Posso criar quizzes com perguntas abertas (Open-Ended Question). 
Não há limite para a criação desse tipo de quiz. 
Posso configurar apenas o nome da lição e a pergunta. 
Perguntas de multipla escolha terão o nome da lição, a pergunta, e suas alternativas. 
As respostas não irão interferir na performance dos usuários respondentes. 
Posso adicionar emojis, negrito, italico, sublinhado e taxado no título e na descrição das questões.
",,,,To Do,,"Com as permissões de criação de conteúdo, quero criar um quiz de pesquisa coletar INFORMAÇÕES QUALITATIVAS dos usuários
"
4,Nota adesiva,Notas adesivas,2,,,,Quizes de Pesquisa ,,,,,,,,,,
5,LucidCardBlock,,2,,,,"Como um usuário matriculado em um curso do Smartzap, quero responder as pesquisas qualitativas de opinião dos cursos que estou consumindo
","Irei receber um link de redirecionamento para responder o quiz. 
Posso escrever até 2000 caracteres nas perguntas abertas (Open-Ended Question). 
Posso voltar para o fluxo de conversa no WhatsApp. 
Não posso finalizar o curso sem responder as pesquisas.",,,"Irei receber um link de redirecionamento para responder o quiz. 
Posso escrever até 2000 caracteres nas perguntas abertas (Open-Ended Question). 
Posso voltar para o fluxo de conversa no WhatsApp. 
Não posso finalizar o curso sem responder as pesquisas.",,,,To Do,,"Como um usuário matriculado em um curso do Smartzap, quero responder as pesquisas qualitativas de opinião dos cursos que estou consumindo
"
6,LinkUnfurlBlock,,2,,,,Quiz do tipo avaliação,Google Docs,,,,,,,,,
7,Nota adesiva,Notas adesivas,2,,,,precisamos avaliar se faremos novos relatórios,,,,,,,,,,
8,Nota adesiva,Notas adesivas,2,,,,NOVO TIPO DE QUIZ,,,,,,,,,,
9,LucidCardBlock,,2,,,,"Com as permissões de criação de conteúdo, quero criar um quiz de pesquisa coletar INFORMAÇÕES QUANTITATIVAS dos usuários
","Posso criar quizzes com perguntas de múltipla escolha (Single-Select Multiple Choice). 
Não há limite para a criação desse tipo de quiz. 
Posso configurar o nome da lição, a pergunta, e suas alternativas. 
Posso definir até 5 alternativas para cada pergunta. 
Não há a possibilidade de escolher qual é a alternativa correta. 
As respostas não irão interferir na performance dos usuários respondentes. 
Posso adicionar emojis, negrito, italico, sublinhado e taxado no título e na descrição das questões.
",,,"Posso criar quizzes com perguntas de múltipla escolha (Single-Select Multiple Choice). 
Não há limite para a criação desse tipo de quiz. 
Posso configurar o nome da lição, a pergunta, e suas alternativas. 
Posso definir até 5 alternativas para cada pergunta. 
Não há a possibilidade de escolher qual é a alternativa correta. 
As respostas não irão interferir na performance dos usuários respondentes. 
Posso adicionar emojis, negrito, italico, sublinhado e taxado no título e na descrição das questões.
",,,,To Do,,"Com as permissões de criação de conteúdo, quero criar um quiz de pesquisa coletar INFORMAÇÕES QUANTITATIVAS dos usuários
"
10,LucidCardBlock,,2,,,,"Como um usuário matriculado em um curso do Smartzap, quero responder as pesquisas quantitativas de opinião dos cursos que estou consumindo
","Irei receber um link de redirecionamento para responder o quiz. 
Posso selecionar apenas uma alternativa nas perguntas de multipla escolha (Single-Select Multiple Choice). 
Não há alternativa correta, portanto, não receberei feedback em nenhuma resposta.  
Posso voltar para o fluxo de conversa no WhatsApp. 
Não posso finalizar o curso sem responder as pesquisas.",,,"Irei receber um link de redirecionamento para responder o quiz. 
Posso selecionar apenas uma alternativa nas perguntas de multipla escolha (Single-Select Multiple Choice). 
Não há alternativa correta, portanto, não receberei feedback em nenhuma resposta.  
Posso voltar para o fluxo de conversa no WhatsApp. 
Não posso finalizar o curso sem responder as pesquisas.",,,,To Do,,"Como um usuário matriculado em um curso do Smartzap, quero responder as pesquisas quantitativas de opinião dos cursos que estou consumindo
"
